0,586,0
1,810,64
2,525,65
3,826,66
4,596,67
5,681,68
6,700,69
7,579,70
8,501,71
9,709,72
10,661,73
11,527,74
12,911,75
13,626,76
14,426,77
15,782,78
16,768,79
17,718,80
18,706,81
19,351,82
20,333,83
21,333,84
22,353,85
23,342,86
24,287,87
25,285,88
26,322,89
27,340,90
28,378,91
29,385,92
30,328,93
31,262,94
32,285,95
33,300,96
34,260,97
35,276,98
36,261,99
37,263,100
38,274,101
39,275,102
40,271,103
41,261,104
42,266,105
43,263,106
44,266,107
45,265,108
46,283,109
47,262,110
48,264,111
49,275,112
50,270,113
51,281,114
52,264,115
53,267,116
54,261,117
55,267,118
56,268,119
57,273,120
58,263,121
59,273,122
60,264,123
61,265,124
62,271,125
63,267,126
64,266,127
65,261,128
66,269,128
67,260,128
68,255,128
69,256,128
70,262,128
71,269,128
72,258,128
73,260,128
74,258,128
75,257,128
76,258,128
77,265,128
78,269,128
79,272,128
80,260,128
81,267,128
82,259,128
83,258,128
84,263,128
85,258,128
86,264,128
87,266,128
88,269,128
89,265,128
90,259,128
91,261,128
92,261,128
93,260,128
94,257,128
95,265,128
96,259,128
97,260,128
98,273,128
99,267,128
100,269,128
101,267,128
102,270,128
103,263,128
104,261,128
105,256,128
106,264,128
107,255,128
108,262,128
109,268,128
110,260,128
111,274,128
112,444,128
113,494,128
114,617,128
115,555,128
116,566,128
117,553,128
118,529,128
